,payoutChange,divGrowth,payoutAvg, debtEquityAvg ,netMarginAvg,roicAvg, debtToEquity ,52WeekChange,SandP52WeekChange,auditRisk, beta ,boardRisk, bookValue ,compensationRisk, currentPrice , currentRatio ,debtToEquity,earningsGrowth,earningsQuarterlyGrowth, ebitda ,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue, enterpriseValue ,financialCurrency, floatShares , forwardEps , forwardPE , freeCashflow , fullTimeEmployees ,grossMargins, grossProfits ,heldPercentInsiders,heldPercentInstitutions,industry,lastSplitDate,lastSplitFactor, netIncomeToCommon ,numberOfAnalystOpinions, operatingCashflow ,operatingMargins,overallRisk, pegRatio , priceHint , priceToBook ,profitMargins, quickRatio ,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth, revenuePerShare ,sector,shareHolderRightsRisk, sharesOutstanding ,sharesPercentSharesOut, sharesShort , sharesShortPriorMonth ,shortPercentOfFloat, shortRatio , targetHighPrice , targetLowPrice , targetMeanPrice , targetMedianPrice , totalCash , totalCashPerShare , totalDebt , totalRevenue , trailingEps 
JCOM,8.56%,12.02%,46.63%, 1.22 ,16.15%,42.01%, 97.78 ,8.9%,15.2%,1, 0.35 ,5, 21.47 ,2, 82.14 , 2.17 ,97.776,-9.5%,-9.2%," 421,804,992.00 ",0.36409,11.003,4.006," 4,640,956,928.00 ",USD," 46,567,336.00 ", 6.76 , 12.15 ," 559,503,488.00 "," 2,487.00 ",84.097%," 945,720,000.00 ",5.76%,104.14%,Software - Infrastructure,1148515200,1-Feb," 127,859,000.00 ",7," 359,056,992.00 ",21.80%,1, 1.63 , 2.00 , 3.83 ,11.19%, 2.04 ,buy,1.6,6.30%,13.05%,5.40%, 24.24 ,Technology,1," 49,242,700.00 ",7.18%," 3,534,456.00 "," 3,677,567.00 ",10.26%, 11.87 , 104.00 , 86.00 , 96.57 , 100.00 ," 357,364,992.00 ", 7.26 ," 1,007,694,016.00 "," 1,158,507,008.00 ", 2.62 
MFSF,24.33%,29.57%,33.60%, 9.82 ,20.17%,4.65%, -   ,8.9%,15.2%,1, 0.19 ,7, 22.44 ,6, 38.70 ,,,-7.7%,6.8%,,0,,7.933," 567,233,536.00 ",USD," 6,296,557.00 ", 2.75 , 14.07 ,, 390.00 ,0.000%," 65,113,000.00 ",15.59%,47.11%,Banks - Regional - US,,," 13,383,000.00 ",3," 27,533,000.00 ",28.42%,7, 3.25 , 2.00 , 1.72 ,18.72%,,hold,3,0.75%,7.90%,27.10%, 9.18 ,Financial Services,7," 8,587,420.00 ",0.80%," 68,771.00 "," 68,803.00 ",1.20%, 13.11 , 41.00 , 39.00 , 39.67 , 39.00 ," 38,360,000.00 ", 4.47 ," 282,276,992.00 "," 71,500,000.00 ", 1.69 
GLOP,21.26%,68.16%,78.08%, 1.54 ,34.23%,412.72%, 111.92 ,8.8%,15.2%,, 1.31 ,, 18.44 ,, 24.25 , 1.04 ,111.922,-10.9%,-18.4%," 220,036,992.00 ",0.72650003,10.628,7.722," 2,338,661,376.00 ",USD," 20,629,092.00 ", 2.14 , 11.33 ," 157,524,752.00 ",,78.201%," 247,550,000.00 ",28.82%,38.68%,Oil & Gas Midstream,,," 87,265,000.00 ",10," 184,239,008.00 ",50.24%,, 3.61 , 2.00 , 1.31 ,36.13%, 1.00 ,buy,1.8,4.60%,11.41%,-9.90%, 6.49 ,Energy,," 42,896,100.00 ",0.50%," 219,268.00 "," 201,738.00 ",0.71%, 1.78 , 30.00 , 25.00 , 27.40 , 27.00 ," 151,610,000.00 ", 3.46 ," 1,184,443,008.00 "," 302,872,000.00 ", 1.87 
TMK,-32.69%,-32.35%,8.29%, 2.53 ,20.98%,3.81%, 26.73 ,8.6%,15.2%,1, 0.89 ,7, 49.34 ,6, 84.86 , 0.39 ,26.727,34.9%,31.5%," 974,246,976.00 ",0.2288,11.598,2.654," 11,299,334,144.00 ",USD," 104,045,291.00 ", 6.54 , 12.98 ," 165,311,376.00 "," 3,102.00 ",28.917%," 1,173,000,000.00 ",1.69%,77.87%,Insurance - Life,1404259200,2-Mar," 1,538,825,984.00 ",8," 1,306,521,984.00 ",22.63%,4, 1.09 , 2.00 , 1.72 ,36.14%, 0.25 ,hold,3.2,2.65%,28.97%,5.40%, 37.15 ,Financial Services,4," 112,693,000.00 ",2.01%," 2,260,935.00 "," 2,305,142.00 ",2.27%, 5.41 , 97.00 , 80.00 , 87.38 , 86.50 ," 150,774,000.00 ", 1.34 ," 1,489,139,968.00 "," 4,258,126,080.00 ", 13.13 
AMGN,115.54%,22.27%,81.13%, 1.77 ,24.76%,28.48%, 231.38 ,8.6%,15.6%,1, 1.61 ,5, 22.97 ,1, 199.49 , 3.39 ,231.384,19.6%,6.7%," 12,510,000,128.00 ",0.5395,10.564,5.7," 132,161,503,232.00 ",USD," 646,255,850.00 ", 14.51 , 13.75 ," 8,549,125,120.00 "," 20,800.00 ",83.306%," 18,926,000,000.00 ",0.19%,80.84%,Biotechnology,943228800,1-Feb," 2,364,000,000.00 ",19," 11,294,999,552.00 ",45.89%,1, 2.62 , 2.00 , 8.68 ,10.20%, 2.94 ,buy,2.3,9.03%,10.14%,4.30%, 32.94 ,Healthcare,1," 647,272,000.00 ",1.67%," 10,784,032.00 "," 10,314,430.00 ",1.62%, 4.40 , 228.00 , 179.00 , 204.26 , 205.00 ," 29,394,999,296.00 ", 45.41 ," 34,496,999,424.00 "," 23,188,000,768.00 ", 3.34 
BMO,-3.52%,3.29%,44.82%, 16.67 ,23.65%,4.57%, -   ,8.4%,15.2%,1, 0.92 ,1, 47.59 ,1, 81.69 ,,,12.7%,10.7%,,0,,-2.335," (38,702,321,664.00)",CAD," 639,270,717.00 ", 7.19 , 11.36 ,," 45,200.00 ",0.000%," 21,486,000,000.00 ",0.02%,49.16%,Banks - Global,984614400,1-Feb," 3,602,998,784.00 ",5," (9,770,869,760.00)",33.04%,1, 3.00 , 2.00 , 1.72 ,22.59%,,hold,2.6,0.68%,11.36%,5.60%, 25.70 ,Financial Services,1," 640,633,984.00 ",0.71%," 4,515,561.00 "," 4,031,622.00 ",, 16.05 , 91.15 , 82.60 , 85.95 , 84.59 ," 197,217,763,328.00 ", 308.19 ," 103,071,473,664.00 "," 16,577,702,912.00 ", 5.56 
CNOB,-11.17%,11.40%,24.51%, 7.65 ,32.14%,16.28%, -   ,8.4%,15.2%,2, 0.87 ,6, 18.01 ,2, 24.40 ,,,125.0%,128.1%,,0,,9.933," 1,370,575,616.00 ",USD," 29,804,865.00 ", 2.41 , 10.12 ,,,0.000%," 147,273,000.00 ",7.22%,69.54%,Banks - Regional - US,1177632000,105/100," 45,304,000.00 ",3," 137,391,008.00 ",55.16%,4, 1.35 , 2.00 , 1.35 ,32.93%,,buy,2,0.91%,8.08%,11.70%, 4.31 ,Financial Services,5," 32,184,200.00 ",3.38%," 1,087,519.00 "," 995,673.00 ",3.64%, 10.01 , 34.00 , 31.50 , 33.17 , 34.00 ," 178,486,000.00 ", 5.56 ," 757,387,008.00 "," 137,976,000.00 ", 1.41 
PH,2.34%,2.42%,37.30%, 1.73 ,7.56%,159.91%, 84.51 ,8.3%,15.2%,1, 1.36 ,8, 44.25 ,3, 180.20 , 1.59 ,84.512,21.3%,20.4%," 2,430,245,888.00 ",0.16992001,11.375,1.933," 27,645,102,080.00 ",USD," 131,580,423.00 ", 12.44 , 14.49 ," 1,293,472,000.00 "," 57,170.00 ",25.062%," 3,584,500,000.00 ",0.46%,84.09%,Diversified Industrials,1191283200,2-Mar," 1,060,801,024.00 ",16," 1,600,286,976.00 ",13.73%,7, 1.94 , 2.00 , 4.07 ,7.42%, 0.99 ,buy,2.4,7.97%,19.07%,9.20%, 107.53 ,Industrials,9," 132,360,000.00 ",1.95%," 2,582,524.00 "," 2,409,864.00 ",1.95%, 2.00 , 220.00 , 165.00 , 187.81 , 187.50 ," 855,132,032.00 ", 6.46 ," 4,957,024,768.00 "," 14,302,392,320.00 ", 7.83 
MRVL,-1389.80%,-0.97%,195.31%, 0.20 ,-2.88%,29.77%, 24.51 ,8.1%,15.2%,10, 0.91 ,3, 13.88 ,8, 18.80 , 2.54 ,24.509,-96.9%,-95.9%," 582,145,024.00 ",0.2327,20.778,4.835," 12,095,986,688.00 ",USD," 493,518,533.00 ", 1.49 , 12.62 ," 239,901,120.00 "," 3,749.00 ",61.039%," 1,461,940,000.00 ",4.28%,85.09%,Semiconductors,1153785600,1-Feb," 333,471,008.00 ",22," 526,641,984.00 ",18.60%,4, 1.14 , 2.00 , 1.35 ,15.36%, 1.59 ,buy,2.1,3.89%,5.73%,10.00%, 4.91 ,Technology,1," 653,732,992.00 ",1.99%," 13,054,748.00 "," 22,657,153.00 ",3.31%, 1.79 , 34.00 , 21.00 , 27.45 , 27.50 ," 523,659,008.00 ", 0.95 ," 1,878,616,960.00 "," 2,501,651,968.00 ", 0.73 
MLHR,1.13%,8.44%,30.14%, 1.22 ,5.62%,994.88%, 39.55 ,8.1%,15.2%,2, 1.82 ,6, 11.22 ,2, 37.15 , 1.56 ,39.551,-6.1%,-4.8%," 250,100,000.00 ",0.10503,9.347,0.982," 2,337,706,240.00 ",USD," 59,214,374.00 ", 3.15 , 11.79 ," 92,362,496.00 "," 7,681.00 ",36.662%," 873,000,000.00 ",0.83%,87.14%,Business Equipment,890092800,1-Feb," 128,100,000.00 ",2," 166,500,000.00 ",7.69%,4, 0.28 , 2.00 , 3.31 ,5.38%, 1.04 ,buy,1.8,8.22%,19.69%,7.10%, 39.90 ,Industrials,6," 59,497,100.00 ",1.85%," 1,100,797.00 "," 1,533,460.00 ",2.11%, 3.27 , 43.00 , 43.00 , 43.00 , 43.00 ," 212,500,000.00 ", 3.56 ," 275,000,000.00 "," 2,381,199,872.00 ", 2.12 
FRBA,0.81%,0.00%,20.51%, 10.14 ,19.32%,10.25%, -   ,8.0%,15.2%,2, 0.63 ,6, 9.95 ,6, 13.85 ,,,46.7%,102.3%,,0,,7.038," 341,573,440.00 ",USD," 13,784,732.00 ", 1.14 , 12.15 ,, 171.00 ,0.000%," 39,104,000.00 ",10.36%,50.23%,Banks - Regional - US,,," 11,119,000.00 ",3," 19,306,000.00 ",45.47%,5,, 2.00 , 1.39 ,22.91%,,strong_buy,1.3,0.79%,7.03%,65.60%, 2.84 ,Financial Services,5," 18,664,300.00 ",2.18%," 407,257.00 "," 584,019.00 ",, 17.36 , 17.00 , 16.50 , 16.83 , 17.00 ," 53,074,000.00 ", 2.84 ," 125,881,000.00 "," 48,530,000.00 ", 0.63 
TDS,69.07%,5.96%,74.70%, 1.10 ,2.69%,9.34%, 47.21 ,8.0%,15.2%,1, 1.16 ,10, 40.07 ,3, 30.11 , 2.96 ,47.212,214.7%,230.0%," 1,045,000,000.00 ",0.20738001,5.32,1.103," 5,559,790,080.00 ",USD," 96,466,219.00 ", 1.24 , 24.28 ," (20,125,000.00)"," 9,600.00 ",53.939%," 2,685,000,000.00 ",0.76%,90.77%,Telecom Services,1327449600,1087/1000," 178,000,000.00 ",3," 881,000,000.00 ",3.61%,10, 0.50 , 2.00 , 0.75 ,3.53%, 2.55 ,buy,2.5,1.21%,4.07%,0.60%, 44.99 ,Communication Services,10," 104,636,000.00 ",2.18%," 2,439,621.00 "," 2,224,374.00 ",3.00%, 2.93 , 39.00 , 31.00 , 34.33 , 33.00 ," 873,000,000.00 ", 7.80 ," 2,447,000,064.00 "," 5,039,000,064.00 ", 1.58 
ABBV,-11.97%,15.71%,67.94%, 12.86 ,21.51%,2063.22%, -   ,7.8%,15.6%,2, 1.59 ,5, (2.23),2, 93.12 , 0.80 ,,5.7%,3.6%," 12,954,000,384.00 ",0.4186,13.634,5.707," 176,609,067,008.00 ",USD," 1,513,106,708.00 ", 8.94 , 10.42 ," 9,331,999,744.00 "," 30,000.00 ",76.081%," 21,530,000,000.00 ",0.09%,71.54%,Drug Manufacturers - Major,,," 6,418,999,808.00 ",20," 11,365,999,616.00 ",36.57%,6, 0.75 , 2.00 ,,20.84%, 0.55 ,buy,2.4,11.00%,489.67%,19.20%, 19.49 ,Healthcare,9," 1,514,269,952.00 ",2.15%," 32,581,503.00 "," 32,287,034.00 ",2.34%, 4.50 , 157.00 , 78.00 , 109.45 , 106.00 ," 3,743,000,064.00 ", 2.47 ," 37,752,999,936.00 "," 30,946,000,896.00 ", 4.03 
SAP,1.56%,7.90%,39.35%, 0.71 ,16.13%,501.03%, 29.68 ,7.6%,15.2%,1, 1.21 ,7, 25.20 ,8, 119.29 , 1.00 ,29.681,8.2%,7.6%," 7,233,298,944.00 ",0.26248,19.68,5.166," 142,349,500,416.00 ",EUR," 997,730,240.00 ", 5.67 , 21.04 ," 5,177,709,056.00 "," 93,846.00 ",70.087%," 16,409,000,000.00 ",0.00%,6.58%,Software - Application,901584000,1-Apr," 4,958,112,256.00 ",11," 5,261,004,288.00 ",22.31%,7, 2.33 , 2.00 , 4.73 ,17.99%, 0.91 ,buy,2.2,7.46%,17.02%,3.80%, 23.08 ,Technology,1," 1,193,600,000.00 ",0.22%," 2,804,818.00 "," 2,471,112.00 ",, 3.08 , 145.83 , 117.60 , 130.75 , 129.56 ," 5,721,167,872.00 ", 4.79 ," 8,941,145,088.00 "," 27,557,365,760.00 ", 4.15 
HOPE,16.13%,35.50%,40.70%, 6.68 ,28.06%,9.40%, -   ,7.5%,15.2%,5, 1.39 ,1, 14.53 ,1, 17.20 ,,,19.1%,16.8%,,0,,5.327," 2,911,384,576.00 ",USD," 123,765,258.00 ", 1.54 , 11.17 ,," 1,491.00 ",0.000%," 530,435,000.00 ",4.73%,92.24%,Banks - Regional - US,1087344000,1-Feb," 161,310,000.00 ",6," 215,559,008.00 ",53.44%,1, 1.19 , 2.00 , 1.18 ,29.51%,,hold,3,1.12%,8.46%,4.30%, 4.05 ,Financial Services,1," 129,977,000.00 ",5.77%," 7,494,003.00 "," 6,461,080.00 ",6.62%, 9.90 , 19.00 , 18.00 , 18.58 , 18.75 ," 489,947,008.00 ", 3.77 ," 1,141,033,984.00 "," 546,558,016.00 ", 1.19 
MDC,-20.99%,2.09%,52.81%, 0.94 ,4.46%,90.91%, 72.70 ,7.3%,15.2%,2, 1.65 ,6, 26.40 ,4, 31.58 , 7.67 ,72.698,87.3%,88.7%," 230,544,000.00 ",0.084589995,10.999,0.93," 2,535,687,168.00 ",USD," 42,886,452.00 ", 3.90 , 8.10 ," (188,986,624.00)"," 1,491.00 ",19.129%," 468,762,000.00 ",7.07%,81.12%,Residential Construction,1512345600,108/100," 187,403,008.00 ",6," (112,852,000.00)",8.00%,5, 0.52 , 2.00 , 1.20 ,6.91%, 1.48 ,hold,2.7,5.06%,13.20%,15.40%, 48.77 ,Consumer Cyclical,7," 56,437,000.00 ",3.80%," 2,145,438.00 "," 1,723,114.00 ",6.67%, 5.14 , 42.00 , 33.00 , 36.33 , 35.00 ," 378,219,008.00 ", 6.70 ," 1,083,090,944.00 "," 2,725,568,000.00 ", 3.27 
ALL,6.11%,4.39%,26.59%, 4.54 ,6.50%,5.12%, 27.88 ,7.3%,15.6%,1, 0.61 ,3, 60.00 ,6, 97.93 , 0.47 ,27.883,20.8%,16.8%," 5,237,000,192.00 ",0.1345,7.594,1.021," 39,771,623,424.00 ",USD," 344,975,532.00 ", 9.10 , 10.76 ," 3,107,000,064.00 "," 42,460.00 ",24.514%," 9,198,000,000.00 ",0.31%,78.62%,Insurance - Property & Casualty,899337600,1-Feb," 3,440,000,000.00 ",16," 5,056,000,000.00 ",12.18%,1, 0.85 , 2.00 , 1.63 ,9.16%, 0.23 ,buy,2.3,2.64%,15.98%,2.90%, 109.53 ,Financial Services,1," 346,232,000.00 ",1.51%," 5,228,168.00 "," 4,735,655.00 ",1.49%, 2.83 , 120.00 , 88.00 , 108.25 , 108.00 ," 3,612,000,000.00 ", 10.43 ," 6,447,000,064.00 "," 38,935,998,464.00 ", 9.52 
HBCP,92.97%,135.96%,20.03%, 7.69 ,21.84%,11.76%, -   ,7.0%,15.2%,2, 0.29 ,5, 30.66 ,6, 44.90 ,,,35.5%,73.3%,,0,,4.568," 412,075,648.00 ",USD," 6,942,218.00 ", 3.50 , 12.83 ,,,0.000%," 75,494,062.00 ",18.12%,39.66%,Savings & Cooperative Banks,,," 22,571,784.00 ",2," 28,609,454.00 ",39.48%,5,, 2.00 , 1.46 ,25.02%,,hold,3,1.21%,9.44%,45.70%, 11.06 ,Financial Services,7," 9,460,510.00 ",0.46%," 43,624.00 "," 75,657.00 ",0.57%, 3.25 , 49.00 , 48.00 , 48.50 , 48.50 ," 81,918,232.00 ", 8.66 ," 69,973,744.00 "," 90,217,736.00 ", 2.69 
CM,-15.67%,-4.24%,40.12%, 20.41 ,29.44%,6.14%, -   ,6.9%,15.2%,1, 1.11 ,1, 54.44 ,1, 94.16 ,,,15.8%,24.9%,,0,,5.581," 70,553,665,536.00 ",CAD," 443,550,887.00 ", 9.66 , 9.75 ,," 45,091.00 ",0.000%," 15,451,000,000.00 ",0.09%,53.28%,Banks - Global,,," 3,811,977,216.00 ",2," (4,212,644,608.00)",39.12%,1, 2.96 , 2.00 , 1.73 ,30.69%,,hold,3.3,0.90%,16.04%,10.60%, 28.62 ,Financial Services,1," 444,632,992.00 ",2.00%," 8,880,201.00 "," 9,429,149.00 ",, 31.17 , 102.97 , 94.97 , 98.97 , 98.97 ," 63,076,909,056.00 ", 142.16 ," 90,394,451,968.00 "," 12,640,940,032.00 ", 8.60 
L,2.88%,-3.98%,18.23%, 2.94 ,5.13%,3.99%, 52.48 ,6.6%,15.2%,1, 0.41 ,10, 59.72 ,9, 50.11 , 0.51 ,52.48,5.0%,-0.4%," 2,983,000,064.00 ",0.20938,8.232,1.724," 24,556,670,976.00 ",USD," 275,567,991.00 ", 4.05 , 12.37 ," 1,152,249,984.00 "," 18,100.00 ",47.526%," 6,390,000,000.00 ",51.59%,26.09%,Insurance - Property & Casualty,1147132800,1-Mar," 1,160,999,936.00 ",1," 3,510,000,128.00 ",14.79%,10, 1.28 , 2.00 , 0.84 ,8.15%, 0.51 ,buy,2.3,1.65%,5.97%,6.90%, 43.20 ,Financial Services,4," 315,982,016.00 ",1.96%," 6,202,396.00 "," 6,189,890.00 ",2.18%, 5.84 , 54.00 , 54.00 , 54.00 , 54.00 ," 5,552,999,936.00 ", 17.57 ," 11,470,999,552.00 "," 14,247,000,064.00 ", 3.51 
G,-9.50%,0.00%,18.17%, 1.27 ,9.95%,4779.45%, 96.04 ,6.5%,15.2%,2, 0.69 ,4, 6.83 ,2, 30.19 , 1.52 ,96.04,-8.3%,-6.3%," 414,592,992.00 ",0.14493,16.006,2.32," 6,636,071,936.00 ",USD," 130,337,440.00 ", 1.95 , 15.48 ," 255,590,624.00 "," 80,000.00 ",37.320%," 1,053,225,000.00 ",0.57%,62.16%,Business Services,,," 270,096,000.00 ",11," 293,238,016.00 ",10.93%,2, 1.71 , 2.00 , 4.42 ,9.44%, 1.29 ,buy,2.5,6.01%,20.93%,8.60%, 14.90 ,Industrials,2," 189,948,992.00 ",2.25%," 4,281,499.00 "," 3,749,255.00 ",3.51%, 5.17 , 38.00 , 28.50 , 34.27 , 35.00 ," 341,686,016.00 ", 1.80 ," 1,245,090,944.00 "," 2,860,709,888.00 ", 1.38 
WTM,-44.52%,-37.74%,1.11%, 0.79 ,72.11%,1.35%, 6.06 ,6.4%,15.2%,2, 0.38 ,7, 936.68 ,10, 934.91 , 4.88 ,6.062,-65.8%,-74.3%," (34,500,000.00)",-0.094289996,-72.126,6.801," 2,488,338,688.00 ",USD," 2,987,117.00 ", 13.25 , 70.56 ," 848,049,984.00 ", 276.00 ,32.112%," 204,600,000.00 ",4.63%,89.49%,Insurance - Property & Casualty,,," (3,100,000.00)",1," (21,700,000.00)",-15.31%,7, (38.47), 2.00 , 1.00 ,147.61%, 4.76 ,hold,3,-0.69%,-1.88%,46.50%, 97.38 ,Financial Services,3," 3,138,850.00 ",1.54%," 49,109.00 "," 32,778.00 ",1.36%, 3.72 , 360.00 , 360.00 , 360.00 , 360.00 ," 452,800,000.00 ", 144.26 ," 169,600,000.00 "," 365,900,000.00 ", 143.82 
ESSA,17.17%,11.51%,45.63%, 8.73 ,16.28%,3.17%, -   ,6.3%,15.2%,1, 0.58 ,4, 16.39 ,4, 15.73 ,,,61.6%,60.1%,,0,,9.307," 481,729,184.00 ",USD," 7,934,275.00 ", 1.11 ,,, 285.00 ,0.000%," 50,368,000.00 ",18.08%,43.03%,Savings & Cooperative Banks,,," 5,455,000.00 ",1," 23,108,000.00 ",24.20%,4,, 2.00 , 0.96 ,10.54%,,hold,3,0.30%,3.04%,7.60%, 4.81 ,Financial Services,7," 10,398,800.00 ",0.29%," 34,080.00 "," 40,793.00 ",0.36%, 1.45 , 16.00 , 16.00 , 16.00 , 16.00 ," 40,815,000.00 ", 3.74 ," 351,124,992.00 "," 51,762,000.00 ", 0.51 
MRK,26.36%,-33.63%,81.97%, 0.88 ,9.16%,32.26%, 71.63 ,6.3%,15.2%,1, 1.06 ,4, 12.18 ,3, 69.08 , 1.33 ,71.629,-11.3%,-12.3%," 11,872,000,000.00 ",0.28774,16.964,4.881," 201,402,122,240.00 ",USD," 2,658,115,763.00 ", 4.60 , 15.02 ," 5,728,000,000.00 "," 69,000.00 ",68.130%," 27,619,000,000.00 ",0.07%,75.71%,Drug Manufacturers - Major,919209600,1-Feb," 1,340,999,936.00 ",19," 7,381,000,192.00 ",17.52%,1, 2.25 , 2.00 , 5.67 ,3.25%, 0.82 ,buy,2.1,5.08%,3.78%,5.40%, 15.25 ,Healthcare,2," 2,659,529,984.00 ",0.82%," 21,898,123.00 "," 17,575,795.00 ",0.81%, 2.69 , 95.00 , 59.00 , 71.62 , 70.00 ," 7,593,999,872.00 ", 2.86 ," 23,470,000,128.00 "," 41,258,999,808.00 ", 0.49 
UPS,-4.05%,5.41%,61.87%, 52.50 ,7.13%,557.87%, 966.51 ,6.1%,15.2%,1, 1.05 ,7, 2.70 ,3, 123.07 , 1.21 ,966.511,8.2%,7.3%," 9,735,000,064.00 ",0.14107999,12.704,1.792," 123,672,797,184.00 ",USD," 693,317,395.00 ", 7.93 , 15.52 ," 1,641,624,960.00 "," 238,830.00 ",21.762%," 14,850,000,000.00 ",0.01%,69.25%,Integrated Shipping & Logistics,,," 5,190,000,128.00 ",22," 6,057,999,872.00 ",10.77%,10, 1.50 , 2.00 , 45.51 ,7.52%, 1.12 ,buy,2.4,10.94%,285.95%,9.60%, 79.54 ,Industrials,10," 693,388,992.00 ",1.10%," 9,441,804.00 "," 9,180,293.00 ",1.37%, 3.83 , 150.00 , 92.00 , 128.41 , 128.00 ," 4,940,000,256.00 ", 5.74 ," 22,770,999,296.00 "," 69,004,001,280.00 ", 5.95 
BOH,-36.16%,-32.69%,31.16%, 12.97 ,29.03%,1.50%, -   ,6.0%,15.2%,1, 0.45 ,3, 29.65 ,1, 83.39 ,,,23.8%,22.5%,,0,,5.702," 3,562,508,800.00 ",USD," 41,293,581.00 ", 5.68 , 14.68 ,," 2,173.00 ",0.000%," 625,755,000.00 ",1.70%,76.95%,Banks - Regional - US,882144000,1-Feb," 197,592,000.00 ",9," 205,707,008.00 ",43.35%,1, 1.75 , 2.00 , 2.81 ,31.62%,,hold,3,1.16%,16.06%,3.30%, 14.85 ,Financial Services,2," 42,031,200.00 ",4.87%," 2,046,775.00 "," 1,807,464.00 ",5.70%, 9.14 , 93.00 , 85.00 , 90.17 , 91.00 ," 692,972,032.00 ", 16.49 ," 756,380,992.00 "," 624,814,976.00 ", 4.66 
ZBH,101.26%,10.22%,59.66%, 1.58 ,9.98%,282.93%, 79.18 ,5.8%,15.2%,5, 1.44 ,1, 59.21 ,8, 123.27 , 2.41 ,79.176,0.0%,0.4%," 2,705,200,128.00 ",0.34125,12.658,4.32," 34,243,463,168.00 ",USD," 203,052,294.00 ", 7.95 , 15.51 ," 1,580,800,000.00 "," 18,200.00 ",71.737%," 5,691,200,000.00 ",0.21%,89.30%,Medical Devices,,," 1,689,900,032.00 ",23," 1,750,200,064.00 ",20.80%,6, 2.74 , 2.00 , 2.08 ,21.32%, 0.98 ,buy,2.3,3.97%,15.15%,3.00%, 39.09 ,Healthcare,6," 203,486,000.00 ",1.74%," 3,549,523.00 "," 3,749,397.00 ",1.75%, 2.98 , 158.00 , 105.00 , 136.39 , 138.00 ," 481,200,000.00 ", 2.37 ," 9,536,100,352.00 "," 7,927,399,936.00 ", 8.27 
FRC,-36.24%,-25.22%,17.25%, 11.50 ,30.01%,3.97%, -   ,5.4%,15.2%,1, 0.44 ,4, 43.88 ,1, 104.04 ,,,13.2%,12.4%,,0,,9.304," 25,818,507,264.00 ",USD," 160,837,669.00 ", 5.48 , 18.99 ,," 4,242.00 ",0.000%," 2,551,743,000.00 ",1.03%,109.73%,Banks - Regional - US,,," 750,220,992.00 ",19," 855,596,992.00 ",38.13%,2, 1.76 , 2.00 , 2.37 ,28.94%,,buy,2.5,0.92%,10.34%,17.40%, 17.29 ,Financial Services,3," 162,651,008.00 ",6.39%," 10,385,807.00 "," 9,901,713.00 ",, 13.51 , 120.00 , 94.00 , 103.47 , 102.00 ," 4,010,646,016.00 ", 24.66 ," 11,936,076,800.00 "," 2,774,893,056.00 ", 4.57 
MPB,-2.69%,5.20%,31.94%, 13.47 ,18.42%,2.32%, -   ,5.2%,15.2%,1, 0.40 ,9, 23.15 ,5, 30.70 ,,,-18.0%,18.5%,,0,,5.274," 248,773,328.00 ",USD," 7,850,795.00 ",,,, 255.00 ,0.000%," 42,956,000.00 ",17.29%,8.56%,Banks - Regional - US,1178496000,105/100," 6,533,000.00 ",," 12,300,000.00 ",29.31%,8,, 2.00 , 1.33 ,13.85%,,none,,0.52%,6.01%,21.60%, 9.17 ,Financial Services,9," 8,450,890.00 ",1.04%," 88,008.00 "," 155,511.00 ",1.89%, 14.11 ,,,,," 39,407,000.00 ", 4.66 ," 29,583,000.00 "," 47,171,000.00 ", 1.27 
PPG,30.04%,6.34%,33.96%, 2.20 ,8.93%,645.45%, 101.79 ,5.1%,15.2%,5, 1.53 ,9, 20.18 ,3, 112.59 , 1.70 ,101.786,-21.2%,-25.2%," 2,428,999,936.00 ",0.15803,12.841,2.029," 31,190,028,288.00 ",USD," 240,943,544.00 ", 7.02 , 16.04 ," 1,258,625,024.00 "," 47,200.00 ",42.863%," 6,541,000,000.00 ",0.14%,80.11%,Specialty Chemicals,1434326400,1-Feb," 1,240,000,000.00 ",20," 1,252,999,936.00 ",12.65%,9, 2.07 , 2.00 , 5.58 ,9.54%, 1.12 ,buy,2.5,7.20%,23.53%,8.60%, 61.21 ,Basic Materials,9," 242,018,000.00 ",3.17%," 7,679,706.00 "," 8,694,409.00 ",3.09%, 5.48 , 144.00 , 102.00 , 120.20 , 119.50 ," 1,087,000,064.00 ", 4.49 ," 5,072,000,000.00 "," 15,370,000,384.00 ", 5.81 
INVA,362.92%,-38.80%,-154.57%, (2.26),23.85%,0.00%, -   ,4.8%,15.2%,5, 1.61 ,7, (1.55),2, 14.48 , 26.36 ,,62.8%,55.4%," 213,104,992.00 ",0.8968,8.737,7.836," 1,861,975,040.00 ",USD," 67,118,951.00 ", 2.03 , 7.13 ," 129,015,248.00 ", 10.00 ,99.725%," 215,862,000.00 ",33.76%,75.46%,Biotechnology,1401753600,1241/1000," 166,359,008.00 ",2," 192,988,000.00 ",89.64%,5, 0.40 , 2.00 ,,70.01%, 26.28 ,hold,3,37.46%,,14.60%, 2.29 ,Healthcare,4," 101,508,000.00 ",12.13%," 12,317,257.00 "," 12,937,327.00 ",28.65%, 16.72 , 22.00 , 8.00 , 15.00 , 15.00 ," 107,542,000.00 ", 1.06 ," 486,527,008.00 "," 237,628,992.00 ", 1.48 
